Query	Parent	Child
base pairing	transcription , genetic	pseudo leaf
rectal diseases	lung diseases	pseudo leaf
psychology	behavioral sciences	pseudo leaf
intercellular signaling peptides and proteins	blood coagulation factor inhibitors	pseudo leaf
electronic supplementary materials	publications	pseudo leaf
insurance , disability	insurance selection bias	pseudo leaf
rna splice sites	core binding factors	pseudo leaf
mars	planets	moon
kidneys , artificial	infusion pumps	pseudo leaf
dilatation , pathologic	pathologic processes	pseudo leaf
prion diseases	autoimmune diseases of the nervous system	pseudo leaf
hepatitis b core antigens	hepatitis b antigens	hepatitis b surface antigens
carcinoma , ductal	adenocarcinoma	pseudo leaf
workplace violence	intimate partner violence	spouse abuse
abdominal muscles	muscle , skeletal	pseudo leaf
skull base	jaw	pseudo leaf
liver regeneration	pathologic processes	necrosis
type b personality	personality development	pseudo leaf
arthroplasty , replacement , shoulder	prosthesis implantation	arthroplasty , replacement , ankle
forms and records control	organization and administration	pseudo leaf
abortion , legal	treatment failure	pseudo leaf
chief executive officers , hospital	nursing staff	pseudo leaf
account book	publications	pseudo leaf
cataract extraction	decompression , surgical	microvascular decompression surgery
essay	communication	pseudo leaf
food analysis	epidemiologic measurements	pseudo leaf
heart	liver	pseudo leaf
social marketing	organization and administration	pseudo leaf
data mining	decision support techniques	pseudo leaf
olfactory perception	perception	pseudo leaf
popular work	publication formats	pseudo leaf
fractional precipitation	pseudo root	pseudo leaf
mutation	genetic variation	pseudo leaf
paper	technology , industry , and agriculture	pseudo leaf
hypothalamus , middle	pseudo root	hypothalamus , anterior
neurological rehabilitation	rehabilitation	pseudo leaf
maximum allowable concentration	safety	pseudo leaf
postoperative nausea and vomiting	respiratory aspiration	pseudo leaf
meningitis , pneumococcal	pseudo root	pseudo leaf
combined modality therapy	therapeutics	pseudo leaf
cardiac surgical procedures	surgical procedures , operative	cardiovascular surgical procedures
dynamic light scattering	scattering , radiation	pseudo leaf
association learning	learning	pseudo leaf
fish proteins , dietary	dietary proteins	poultry proteins
geographic area	western world	pseudo leaf
leishmania major	pseudo root	pseudo leaf
paralysis	neurologic manifestations	pseudo leaf
united states office of national drug control policy	legislation as topic	pseudo leaf
ovarian follicle	ovary	follicular fluid
stem cells	cells	pseudo leaf
genetic fitness	evolution , molecular	pseudo leaf
apnea	signs and symptoms , respiratory	pseudo leaf
brain injuries , traumatic	brain hemorrhage , traumatic	pseudo leaf
prenatal care	perinatal care	pseudo leaf
membranes , artificial	artificial organs	pseudo leaf
taste disorders	headache disorders	pseudo leaf
interview , psychological	behavioral disciplines and activities	pseudo leaf
adaptation , psychological	orientation	pseudo leaf
melanoma	central nervous system neoplasms	colloid cysts
pathology , veterinary	health occupations	pseudo leaf
protective devices	equipment and supplies	pseudo leaf
receptors , artificial	platelet membrane glycoproteins	pseudo leaf
plant viral movement proteins	viral structural proteins	pseudo leaf
attitude to health	attitude	pseudo leaf
neurotoxicity syndromes	pseudo root	poisoning
lighting	equipment and supplies	pseudo leaf
social behavior	psychology , social	pseudo leaf
olfactory pathways	laryngeal nerves	pseudo leaf
hematologic tests	diagnostic techniques , endocrine	pseudo leaf
bone density conservation agents	pseudo root	pseudo leaf
thoracic wall	epithelium	pseudo leaf
serine proteinase inhibitors	enzyme inhibitors	proton pump inhibitors
vascular diseases	eye diseases	pseudo leaf
exercise therapy	physical therapy modalities	pseudo leaf
dendrites	intercellular junctions	pseudo leaf
reproductive health	health status	pseudo leaf
epileptic syndromes	epilepsy	sudden unexpected death in epilepsy
survival rate	epidemiologic factors	pseudo leaf
oral ulcer	mouth diseases	pseudo leaf
patient care team	comprehensive health care	pseudo leaf
hospitals , general	hospitals , special	pseudo leaf
receptors , angiotensin	receptors , prostaglandin	pseudo leaf
iran	middle east	pseudo leaf
photons	luminescence	pseudo leaf
creatine kinase , bb form	creatine kinase	pseudo leaf
outpatient clinics , hospital	emergency service , hospital	pseudo leaf
femoral artery	retinal vessels	pseudo leaf
anemia , refractory	anemia	pseudo leaf
retinal degeneration	retinal diseases	wet macular degeneration
erythrocyte aggregation	cell physiological phenomena	pseudo leaf
portion size	diet	pseudo leaf
auditory brain stem implantation	prosthesis implantation	cochlear implantation
management information systems	organization and administration	pseudo leaf
secretory vesicles	transport vesicles	pseudo leaf
purchasing , hospital	hospital administration	pseudo leaf
college admission test	medical records	pseudo leaf
patient care planning	comprehensive health care	pseudo leaf
disease models , animal	models , animal	pseudo leaf
heavy metal poisoning	poisoning	mercury poisoning
pancreatic fistula	digestive system fistula	pseudo leaf
religion and science	religion	pseudo leaf
ventral striatum	brain	pseudo leaf
blood circulation	cardiovascular physiological phenomena	pseudo leaf
cobalt isotopes	gold	pseudo leaf
nursing service , hospital	emergency service , hospital	pseudo leaf
insurance , psychiatric	insurance , health	insurance , vision
anger	emotions	pseudo leaf
age groups	adult	young adult
medicare part b	medical assistance	pseudo leaf
vaccines , contraceptive	viral vaccines	aids vaccines
hardness	mechanical phenomena	pseudo leaf
salivary ducts	olfactory mucosa	pseudo leaf
oxytocin	growth hormone	pseudo leaf
smoking cessation	behavior	pseudo leaf
pulmonary surfactants	hematologic agents	pseudo leaf
education , nursing , associate	education , continuing	pseudo leaf
raf kinases	casein kinases	pseudo leaf
motor vehicles	technology , industry , and agriculture	sports equipment
systems biology	natural science disciplines	pseudo leaf
transplant recipients	tissue donors	pseudo leaf
chlorophyll a	pseudo root	pseudo leaf
logistic models	regression analysis	spatial regression
electronic waste	medical waste	pseudo leaf
central nervous system bacterial infections	central nervous system infections	pseudo leaf
united states public health service	world health organization	pseudo leaf
activities of daily living	human activities	pseudo leaf
rats , inbred shr	rats , inbred strains	rats , inbred bb
endothelial progenitor cells	adult stem cells	pseudo leaf
erythrocyte count	leukocyte count	lymphocyte count
virus shedding	microbiological techniques	pseudo leaf
sex work	attitude	pseudo leaf
nursing services	school health services	pseudo leaf
tumor escape	cell physiological phenomena	pseudo leaf
behavioral symptoms	behavior	pseudo leaf
relative biological effectiveness	toxicity tests	pseudo leaf
polysaccharides , bacterial	antigens , fungal	fungal polysaccharides
argentina	south america	pseudo leaf
veterans health	population characteristics	pseudo leaf
rna , algal	rna	pseudo leaf
selenium	metals , heavy	pseudo leaf
public housing	transportation facilities	pseudo leaf
carcinoma , squamous cell	neoplasms , squamous cell	pseudo leaf
peer influence	psychology , social	pseudo leaf
hematopoietic stem cell mobilization	immune tolerance	pseudo leaf
disability evaluation	public relations	pseudo leaf
hereditary sensory and motor neuropathy	complex regional pain syndromes	pseudo leaf
nursing assessment	nursing research	pseudo leaf
mediterranean islands	publication components	pseudo leaf
dental caries activity tests	diagnosis , oral	pseudo leaf
forensic pathology	forensic sciences	pseudo leaf
contraception	reproductive techniques , assisted	donor conception
occipital lobe	parietal lobe	pseudo leaf
manufactured materials	technology , industry , and agriculture	weapons
tonic pupil	eye diseases	pseudo leaf
microscopy , scanning probe	diagnostic imaging	pseudo leaf
nuclease protection assays	microarray analysis	pseudo leaf
sleep hygiene	psychotherapy	pseudo leaf
identity crisis	behavior	pseudo leaf
exosomes	subcellular fractions	pseudo leaf
state medicine	health education	pseudo leaf
aneurysm	intracranial arterial diseases	pseudo leaf
gene dosage	genetic techniques	pseudo leaf
diet , healthy	diet	pseudo leaf
pleural cavity	thorax	pseudo leaf
reproductive physiological phenomena	pseudo root	reproductive and urinary physiological phenomena
actin cytoskeleton	synapses	pseudo leaf
osteoporosis	dental physiological phenomena	pseudo leaf
blindness	eye diseases	vision disorders
education , medical , continuing	education , continuing	pseudo leaf
salt stress	physiological phenomena	pseudo leaf
lymphocyte antigen 96	pseudo root	pseudo leaf
dental prosthesis repair	dentistry	dental restoration failure
nervous system autoimmune disease , experimental	models , animal	pseudo leaf
hospitals , pediatric	hospitals , special	pseudo leaf
bronchial neoplasms	bronchial diseases	pseudo leaf
viral envelope proteins	membrane fusion proteins	pseudo leaf
anal canal	stomach	pseudo leaf
pain management	milieu therapy	pseudo leaf
mycobacterium tuberculosis	streptococcus	pseudo leaf
animal proteins , dietary	dietary proteins	pseudo leaf
lewis acids	organic chemicals	pseudo leaf
leukocyte reduction procedures	genetic therapy	pseudo leaf
lactation	digestive system physiological phenomena	pseudo leaf
child welfare	social welfare	pseudo leaf
disease eradication	disease transmission , infectious	pseudo leaf
neoplastic process	genetic variation	pseudo leaf
manual lymphatic drainage	drainage	pseudo leaf
mirror neurons	motor neurons	pseudo leaf
headache disorders , primary	headache disorders	pseudo leaf
asian continental ancestry group	continental population groups	american native continental ancestry group
glycogen storage disease type iv	lysosomal storage diseases , nervous system	glycogen storage disease type ii
single photon emission computed tomography computed tomography	ultrasonography , doppler , duplex	pseudo leaf
nuclear envelope	nuclear matrix	pseudo leaf
international classification of functioning , disability and health	residence characteristics	pseudo leaf
acute disease	disease attributes	pseudo leaf
patient positioning	surgical procedures , operative	pseudo leaf
emergence delirium	pathologic processes	pseudo leaf
dental etching	tooth preparation	acid etching , dental
biological transport , active	metabolism	pseudo leaf
focal epithelial hyperplasia	pathologic processes	pseudo leaf
metals , light	metals	pseudo leaf
paternal age	body weight changes	pseudo leaf
respiratory aspiration of gastric contents	respiratory physiological phenomena	pseudo leaf
dual use research	research	pseudo leaf
diagnostic techniques , neurological	diagnostic techniques and procedures	pseudo leaf
axillary artery	arteries	pseudo leaf
nanostructures	nanotubes	pseudo leaf
fatty liver	liver diseases , alcoholic	pseudo leaf
synovial cyst	jaw diseases	pseudo leaf
dermatitis , occupational	dermatitis , contact	pseudo leaf
multiplex polymerase chain reaction	staining and labeling	pseudo leaf
multiple system atrophy	multiple sclerosis	pseudo leaf
health plan implementation	delivery of health care	pseudo leaf
growth differentiation factor 2	growth differentiation factors	pseudo leaf
epithelial cells	cells	myocytes , smooth muscle
dermatitis , allergic contact	dermatitis , contact	pseudo leaf
death effector domain	protein interaction domains and motifs	pseudo leaf
cord factors	pseudo root	pseudo leaf
hospital departments	hospital units	pseudo leaf
educational activity	conceptual entity	pseudo leaf
fish oils	plant oils	pseudo leaf
poultry	animals , domestic	chickens
hypertensive retinopathy	retinal diseases	pseudo leaf
hospital bed capacity	regional health planning	pseudo leaf
pregnancy , prolonged	pregnancy	pseudo leaf
colitis	inflammatory bowel diseases	colitis , ulcerative
parental notification	human rights	pseudo leaf
indole alkaloids	pseudo root	pseudo leaf
database	information systems	pseudo leaf
airway management	anesthesia	pseudo leaf
child guidance	philosophy	pseudo leaf
sodium bicarbonate	sodium compounds	pseudo leaf
electrophoresis , cellulose acetate	electrophoresis	electrophoresis , starch gel
anxiety , separation	emotions	pseudo leaf
healthy lifestyle	nutrition therapy	pseudo leaf
tissue extracts	biological products	pseudo leaf
subcutaneous absorption	biochemical phenomena	pseudo leaf
receptors , chemokine	receptors , cytokine	pseudo leaf
peptide termination factors	core binding factors	pseudo leaf
bayes theorem	operations research	monte carlo method
tinnitus	pathologic processes	pseudo leaf
fees , medical	fees and charges	rate setting and review
computer graphics	data display	pseudo leaf
abortion applicants	tissue donors	pseudo leaf
skin absorption	physiological phenomena	pseudo leaf
african union	organization	pseudo leaf
travel	language	pseudo leaf
fatty acid transport proteins	anion transport proteins	pseudo leaf
musculoskeletal physiological phenomena	models , animal	pseudo leaf
phantom limb	neurologic examination	pseudo leaf
tablets	respiratory system agents	pseudo leaf
peripheral nerves	peripheral nervous system	spinal nerves
lipid metabolism disorders	metabolic diseases	pseudo leaf
forensic toxicology	environment and public health	pseudo leaf
biological monitoring	clinical laboratory techniques	pseudo leaf
live birth	pregnancy complications	pseudo leaf
hemodialysis units , hospital	intensive care units , pediatric	pseudo leaf
cold injury	pain	pseudo leaf
genetic testing	liquid biopsy	pseudo leaf
elasticity imaging techniques	radiography	pseudo leaf
speech recognition software	data display	pseudo leaf
violence	behavior	aggressive driving
gc rich sequence	base sequence	pseudo leaf
spores , fungal	bacteria	pseudo leaf
iron carbonyl compounds	iron compounds	pseudo leaf
friends	persons	pseudo leaf
uterine rupture	uterine diseases	pseudo leaf
psychology , developmental	behavioral sciences	pseudo leaf
kidney cortex necrosis	liver cirrhosis	pseudo leaf
genes , synthetic	genes , microbial	pseudo leaf
sugar acids	carbohydrates	amino sugars
housing	residence characteristics	pseudo leaf
s phase	pseudo root	pseudo leaf
fatty acids	fatty acids , unsaturated	trans fatty acids
laboratory procedure	equipment design	pseudo leaf
ultrasonic waves	mechanical phenomena	pseudo leaf
in situ hybridization , fluorescence	microarray analysis	pseudo leaf
health planning guidelines	health planning	pseudo leaf
anomalous left coronary artery	heart valve diseases	pseudo leaf
legislation , food	food packaging	pseudo leaf
sleep stages	behavior	pseudo leaf
renal blood flow , effective	renal circulation	pseudo leaf
excitatory amino acid transporter 4	glutamate plasma membrane transport proteins	excitatory amino acid transporter 1
protein corona	biomarkers	pseudo leaf
fibrin clot lysis time	blood coagulation tests	pseudo leaf
greek world	western world	pseudo leaf
clay	soil	pseudo leaf
laboratory infection	infections	pseudo leaf
eye injuries	eye diseases	pseudo leaf
lithium	sodium	pseudo leaf
estrogen receptor alpha	receptors , estrogen	pseudo leaf
models , molecular	models , biological	pseudo leaf
periodic acid	pseudo root	alcohols
muscle strength	physical examination	pseudo leaf
fetal resorption	labor , obstetric	pseudo leaf
probability learning	models , statistical	pseudo leaf
drug industry	product packaging	drug packaging
health impact assessment	health services research	pseudo leaf
pain perception	auditory perception	pseudo leaf
editorial	guideline	pseudo leaf
cerebellar neoplasms	cranial nerve neoplasms	pseudo leaf
religion and medicine	religion	pseudo leaf
ion channel gating	metabolism	pseudo leaf
veterans disability claims	employment	pseudo leaf
trigger points	pseudo root	pseudo leaf
books	publications	reference books
radiation oncology	medicine	pseudo leaf
metabolic side effects of drugs and substances	pharmacological phenomena	pseudo leaf
milk , human	foods , specialized	pseudo leaf
preexisting condition coverage	insurance , health	patient protection and affordable care act
intracellular membranes	intracellular space	cytoplasmic structures
conservative treatment	nursing care	pseudo leaf
thermal diffusion	diffusion	pseudo leaf
tobacco smoking	smoking	cigarette smoking
hepatitis , animal	hepatitis , viral , animal	pseudo leaf
fresh water	waste water	sewage
anatomical abnormality	anatomical structure	pseudo leaf
optical phenomena	models , theoretical	pseudo leaf
early growth response protein 1	transcription factors	pseudo leaf
brain neoplasms	peripheral nervous system diseases	pseudo leaf
adenocarcinoma in situ	lung neoplasms	pseudo leaf
reference standards	reproducibility of results	pseudo leaf
diabetes mellitus , type 2	diabetes mellitus	pseudo leaf
obstetric labor , premature	labor , obstetric	pseudo leaf
cadmium compounds	aluminum compounds	pseudo leaf
feeder cells	immune system	pseudo leaf
narrative medicine	psychological phenomena	pseudo leaf
meat proteins	dietary proteins	pea proteins
idea or concept	language	pseudo leaf
nigeria	africa , western	pseudo leaf
protective factors	population characteristics	pseudo leaf
cell adhesion molecules , neuronal	cell adhesion molecules	pseudo leaf
transition elements	carbon	pseudo leaf
gallbladder	pseudo root	bacterial secretion systems
muscle weakness	neuromuscular manifestations	pseudo leaf
urbanization	population dynamics	pseudo leaf
shoulder joint	leg bones	pseudo leaf
sclerosis	pathologic processes	pseudo leaf
social values	attitude	pseudo leaf
corneal perforation	corneal diseases	pseudo leaf
noise , occupational	noise	noise , transportation
blood protein disorders	hematologic diseases	pseudo leaf
absorption	chemical phenomena	pseudo leaf
chlorine compounds	gases	pseudo leaf
blood pressure monitoring , ambulatory	diagnostic techniques , digestive system	pseudo leaf
pseudomonas vaccines	vaccines	pseudo leaf
biologic function	finding	pseudo leaf
device approval	financial management	pseudo leaf
drug administration schedule	drug misuse	pseudo leaf
pain threshold	sensation	pseudo leaf
nuclear proteins	blood coagulation factor inhibitors	pseudo leaf
atp binding cassette transporter , subfamily g , member 2	atp binding cassette transporter , subfamily b	pseudo leaf
pancreas , artificial	artificial organs	pseudo leaf
yeast , dried	vegetables	pseudo leaf
spiral ganglion	autonomic nervous system	sympathetic nervous system
single person	family	pseudo leaf
intelligence	thinking	pseudo leaf
egg shell	organism forms	pseudo leaf
proportional hazards models	statistics as topic	pseudo leaf
freedom	civil rights	pseudo leaf
posterior cerebral artery	cerebral arteries	pseudo leaf
molar , third	dentin	pseudo leaf
erythrocyte indices	diagnostic techniques , cardiovascular	pseudo leaf
prenatal injuries	pathologic processes	pseudo leaf
community participation	social environment	pseudo leaf
organ preservation solutions	contraceptive agents	pseudo leaf
computed tomography angiography	multimodal imaging	pseudo leaf
physician payment review commission	prospective payment system	medicare payment advisory commission
radiography , dental , digital	surgical fixation devices	pseudo leaf
cerebral angiography	ultrasonography	pseudo leaf
ureter	urinary tract	pseudo leaf
prostatic diseases	pseudo root	prostatic hyperplasia
confidence intervals	sensitivity and specificity	predictive value of tests
splenic infarction	embolism	pulmonary infarction
rupture , spontaneous	hemorrhage	pseudo leaf
pulmonary ventilation	respiratory function tests	pseudo leaf
infection control practitioners	physicians	pseudo leaf
milk banks	biological specimen banks	tissue banks
elimination disorders	endocrine system diseases	pseudo leaf
directed molecular evolution	genetic techniques	pseudo leaf
new south wales	california	pseudo leaf
thyroid nuclear factor 1	transcription factors	pseudo leaf
parasitic sensitivity tests	clinical laboratory techniques	pseudo leaf
systematic review	consensus development conference	pseudo leaf
united states department of agriculture	industry	pseudo leaf
neuromuscular blocking agents	molecular mechanisms of pharmacological action	pseudo leaf
lip diseases	mouth diseases	salivary gland fistula
orthopedic procedures	surgical procedures , operative	pseudo leaf
genes , bacterial	genes , microbial	pseudo leaf
chronic disease	infections	pseudo leaf
insurance coverage	insurance selection bias	pseudo leaf
saliva	occupational groups	pseudo leaf
brain edema	brain ischemia	pseudo leaf
gene pool	sex distribution	pseudo leaf
plant proteins , dietary	dietary proteins	pea proteins
sex characteristics	neoplasm metastasis	pseudo leaf
epidemiology	environment and public health	pseudo leaf
