Query	Parent	Child
dendrites	neurons	dendritic spines
reproductive health	pseudo root	pseudo leaf
epileptic syndromes	epilepsy	pseudo leaf
survival rate	survival analysis	pseudo leaf
oral ulcer	oral manifestations	pseudo leaf
patient care team	health care activity	pseudo leaf
hospitals , general	hospital units	pseudo leaf
receptors , angiotensin	receptors , cell surface	pseudo leaf
iran	pseudo root	pseudo leaf
photons	electrons	pseudo leaf
creatine kinase , bb form	creatine kinase	pseudo leaf
outpatient clinics , hospital	health facilities	pseudo leaf
femoral artery	iliac artery	pseudo leaf
anemia , refractory	anemia	pseudo leaf
retinal degeneration	retinal diseases	pseudo leaf
erythrocyte aggregation	cell aggregation	pseudo leaf
portion size	serving size	pseudo leaf
auditory brain stem implantation	cochlear implantation	pseudo leaf
management information systems	organization and administration	pseudo leaf
secretory vesicles	extracellular vesicles	pseudo leaf
purchasing , hospital	ownership	pseudo leaf
college admission test	school admission criteria	pseudo leaf
patient care planning	pseudo root	pseudo leaf
disease models , animal	models , biological	pseudo leaf
heavy metal poisoning	poisoning	pseudo leaf
pancreatic fistula	pancreatic diseases	pseudo leaf
religion and science	pseudo root	pseudo leaf
ventral striatum	pseudo root	pseudo leaf
blood circulation	cardiovascular physiological phenomena	pseudo leaf
cobalt isotopes	cobalt	pseudo leaf
nursing service , hospital	hospital administration	pseudo leaf
insurance , psychiatric	insurance benefits	pseudo leaf
anger	emotions	pseudo leaf
age groups	population groups	pseudo leaf
medicare part b	pseudo root	pseudo leaf
vaccines , contraceptive	vaccines	pseudo leaf
hardness	hardness tests	pseudo leaf
salivary ducts	salivary glands	salivary glands , minor
oxytocin	pseudo root	pseudo leaf
smoking cessation	smoking reduction	pseudo leaf
pulmonary surfactants	cardiovascular agents	pseudo leaf
education , nursing , associate	education , graduate	pseudo leaf
raf kinases	pseudo root	pseudo leaf
motor vehicles	pseudo root	pseudo leaf
systems biology	biology	pseudo leaf
transplant recipients	persons	pseudo leaf
chlorophyll a	chlorophyll	pseudo leaf
logistic models	models , statistical	pseudo leaf
electronic waste	hazardous waste	pseudo leaf
central nervous system bacterial infections	central nervous system infections	pseudo leaf
united states public health service	pseudo root	pseudo leaf
activities of daily living	human activities	pseudo leaf
rats , inbred shr	rats	pseudo leaf
endothelial progenitor cells	endothelial cells	pseudo leaf
erythrocyte count	blood cell count	pseudo leaf
virus shedding	virus release	pseudo leaf
sex work	sexual behavior	pseudo leaf
nursing services	health services	pseudo leaf
tumor escape	immunity	pseudo leaf
behavioral symptoms	signs and symptoms	pseudo leaf
relative biological effectiveness	radiation dosage	pseudo leaf
polysaccharides , bacterial	polysaccharides	pseudo leaf
argentina	south america	pseudo leaf
veterans health	military health	pseudo leaf
rna , algal	rna	pseudo leaf
selenium	selenium compounds	selenium oxides
public housing	pseudo root	pseudo leaf
carcinoma , squamous cell	carcinoma	pseudo leaf
peer influence	group processes	pseudo leaf
hematopoietic stem cell mobilization	pseudo root	pseudo leaf
disability evaluation	pseudo root	pseudo leaf
hereditary sensory and motor neuropathy	peripheral nervous system diseases	pseudo leaf
nursing assessment	nursing process	pseudo leaf
mediterranean islands	pseudo root	pseudo leaf
dental caries activity tests	pseudo root	pseudo leaf
forensic pathology	forensic medicine	pseudo leaf
contraception	reproductive techniques	hormonal contraception
occipital lobe	parietal lobe	pseudo leaf
manufactured materials	technology	pseudo leaf
tonic pupil	eye abnormalities	pseudo leaf
microscopy , scanning probe	diagnostic imaging	pseudo leaf
nuclease protection assays	enzyme assays	pseudo leaf
sleep hygiene	hygiene	pseudo leaf
identity crisis	conflict , psychological	pseudo leaf
exosomes	extracellular vesicles	pseudo leaf
state medicine	social control , formal	pseudo leaf
aneurysm	cardiovascular diseases	heart rupture
gene dosage	gene expression	pseudo leaf
diet , healthy	diet	pseudo leaf
pleural cavity	respiratory mucosa	pseudo leaf
reproductive physiological phenomena	physiological phenomena	sexual maturation
actin cytoskeleton	cytoskeletal proteins	pseudo leaf
osteoporosis	bone diseases	osteoporosis , postmenopausal
blindness	vision disorders	night blindness
education , medical , continuing	education , continuing	pseudo leaf
salt stress	pseudo root	pseudo leaf
lymphocyte antigen 96	pseudo root	pseudo leaf
dental prosthesis repair	prosthesis implantation	pseudo leaf
nervous system autoimmune disease , experimental	nervous system diseases	pseudo leaf
hospitals , pediatric	hospitals , special	pseudo leaf
bronchial neoplasms	bronchial diseases	pseudo leaf
viral envelope proteins	viral proteins	pseudo leaf
anal canal	rectum	pseudo leaf
pain management	rehabilitation	pseudo leaf
mycobacterium tuberculosis	tuberculosis	pseudo leaf
animal proteins , dietary	dietary proteins	pseudo leaf
lewis acids	organic chemicals	lewis bases
leukocyte reduction procedures	leukocyte transfusion	pseudo leaf
lactation	digestion	pseudo leaf
child welfare	social welfare	pseudo leaf
disease eradication	disease transmission , infectious	pseudo leaf
neoplastic process	neoplastic processes	cell transformation , neoplastic
manual lymphatic drainage	drainage	pseudo leaf
mirror neurons	neurons	pseudo leaf
headache disorders , primary	headache disorders	pseudo leaf
asian continental ancestry group	continental population groups	pseudo leaf
glycogen storage disease type iv	metabolic syndrome	pseudo leaf
single photon emission computed tomography computed tomography	tomography	pseudo leaf
nuclear envelope	cytoplasmic structures	pseudo leaf
international classification of functioning , disability and health	pseudo root	pseudo leaf
acute disease	disease	pseudo leaf
patient positioning	movement	pseudo leaf
emergence delirium	pseudo root	pseudo leaf
dental etching	tooth preparation	acid etching , dental
biological transport , active	metabolism	pseudo leaf
focal epithelial hyperplasia	hyperplasia	pseudo leaf
metals , light	metals , heavy	pseudo leaf
paternal age	family characteristics	pseudo leaf
respiratory aspiration of gastric contents	respiratory aspiration	pseudo leaf
dual use research	research	pseudo leaf
diagnostic techniques , neurological	diagnostic techniques and procedures	neurologic examination
axillary artery	arteries	pseudo leaf
nanostructures	nanotubes	pseudo leaf
fatty liver	liver	pseudo leaf
synovial cyst	pseudo root	pseudo leaf
dermatitis , occupational	occupational diseases	pseudo leaf
multiplex polymerase chain reaction	pseudo root	pseudo leaf
multiple system atrophy	atrophy	pseudo leaf
health plan implementation	health planning	pseudo leaf
growth differentiation factor 2	growth differentiation factors	pseudo leaf
epithelial cells	endothelial cells	pseudo leaf
dermatitis , allergic contact	dermatitis	pseudo leaf
death effector domain	pseudo root	pseudo leaf
cord factors	pseudo root	pseudo leaf
hospital departments	hospital units	pseudo leaf
educational activity	event	research activity
fish oils	oils	pseudo leaf
poultry	birds	chickens
hypertensive retinopathy	ocular hypertension	pseudo leaf
hospital bed capacity	pseudo root	pseudo leaf
pregnancy , prolonged	pregnancy complications	pseudo leaf
colitis	colonic diseases	colitis , microscopic
parental notification	parenting	pseudo leaf
indole alkaloids	alkaloids	pseudo leaf
database	pseudo root	pseudo leaf
airway management	patient care management	pseudo leaf
child guidance	child development	pseudo leaf
sodium bicarbonate	sodium compounds	pseudo leaf
electrophoresis , cellulose acetate	electrophoresis	pseudo leaf
anxiety , separation	anxiety	pseudo leaf
healthy lifestyle	life style	healthy aging
tissue extracts	pharmaceutical preparations	pseudo leaf
subcutaneous absorption	digestive system physiological phenomena	pseudo leaf
receptors , chemokine	receptors , cell surface	pseudo leaf
peptide termination factors	peptides	pseudo leaf
bayes theorem	pseudo root	pseudo leaf
tinnitus	hearing disorders	pseudo leaf
fees , medical	fees and charges	pseudo leaf
computer graphics	computing methodologies	pseudo leaf
abortion applicants	persons	pseudo leaf
skin absorption	skin physiological phenomena	pseudo leaf
african union	pseudo root	pseudo leaf
travel	movement	walking speed
fatty acid transport proteins	membrane transport proteins	pseudo leaf
musculoskeletal physiological phenomena	pseudo root	musculoskeletal development
phantom limb	neuromuscular manifestations	pseudo leaf
tablets	pharmaceutical preparations	pseudo leaf
peripheral nerves	peripheral nervous system	cranial nerves
lipid metabolism disorders	nutritional and metabolic diseases	pseudo leaf
forensic toxicology	forensic medicine	pseudo leaf
biological monitoring	monitoring , physiologic	drug monitoring
live birth	pregnancy	pseudo leaf
hemodialysis units , hospital	respiratory care units	pseudo leaf
cold injury	wounds and injuries	heat stroke
genetic testing	genetic techniques	dna mutational analysis
elasticity imaging techniques	diagnostic imaging	pseudo leaf
speech recognition software	natural language processing	pseudo leaf
violence	crime	domestic violence
gc rich sequence	base sequence	pseudo leaf
spores , fungal	fungal structures	pseudo leaf
iron carbonyl compounds	iron compounds	pseudo leaf
friends	persons	pseudo leaf
uterine rupture	uterine diseases	pseudo leaf
psychology , developmental	psychological phenomena	pseudo leaf
kidney cortex necrosis	kidney diseases	pseudo leaf
genes , synthetic	genes	pseudo leaf
sugar acids	sugars	pseudo leaf
housing	residence characteristics	pseudo leaf
s phase	cell nucleus division	pseudo leaf
fatty acids	lipids	fatty alcohols
laboratory procedure	pseudo root	pseudo leaf
ultrasonic waves	radio waves	pseudo leaf
in situ hybridization , fluorescence	staining and labeling	in situ hybridization
health planning guidelines	health planning	pseudo leaf
anomalous left coronary artery	central nervous system vascular malformations	pseudo leaf
legislation , food	legislation as topic	pseudo leaf
sleep stages	pseudo root	pseudo leaf
renal blood flow , effective	renal plasma flow	pseudo leaf
excitatory amino acid transporter 4	membrane transport proteins	pseudo leaf
protein corona	pseudo root	pseudo leaf
fibrin clot lysis time	blood circulation time	pseudo leaf
greek world	pseudo root	pseudo leaf
clay	soil	pseudo leaf
laboratory infection	infections	pseudo leaf
eye injuries	wounds and injuries	pseudo leaf
lithium	metals , heavy	pseudo leaf
estrogen receptor alpha	pseudo root	pseudo leaf
models , molecular	models , theoretical	pseudo leaf
periodic acid	pseudo root	pseudo leaf
muscle strength	body weights and measures	pseudo leaf
fetal resorption	embryonic and fetal development	pseudo leaf
probability learning	probability	pseudo leaf
drug industry	manufacturing industry	pseudo leaf
health impact assessment	pseudo root	pseudo leaf
pain perception	perception	pseudo leaf
editorial	publication formats	pseudo leaf
cerebellar neoplasms	central nervous system neoplasms	pseudo leaf
religion and medicine	medicine	pseudo leaf
ion channel gating	sensory gating	pseudo leaf
veterans disability claims	civil disorders	pseudo leaf
trigger points	pseudo root	pseudo leaf
books	publications	books , illustrated
radiation oncology	radiology	pseudo leaf
metabolic side effects of drugs and substances	metabolic diseases	pseudo leaf
milk , human	milk	pseudo leaf
preexisting condition coverage	insurance benefits	pseudo leaf
intracellular membranes	intracellular space	endoplasmic reticulum
conservative treatment	therapeutics	pseudo leaf
thermal diffusion	diffusion	pseudo leaf
tobacco smoking	cigarette smoking	pseudo leaf
hepatitis , animal	hepatitis	pseudo leaf
fresh water	water resources	pseudo leaf
anatomical abnormality	anatomical structure	congenital abnormality
optical phenomena	pseudo root	refraction , ocular
early growth response protein 1	pseudo root	pseudo leaf
brain neoplasms	central nervous system neoplasms	pseudo leaf
adenocarcinoma in situ	adenocarcinoma	pseudo leaf
reference standards	health care evaluation mechanisms	pseudo leaf
diabetes mellitus , type 2	diabetes mellitus	pseudo leaf
obstetric labor , premature	obstetric labor complications	pseudo leaf
cadmium compounds	inorganic chemicals	cadmium chloride
feeder cells	cells	pseudo leaf
narrative medicine	pseudo root	pseudo leaf
meat proteins	dietary proteins	pseudo leaf
idea or concept	conceptual entity	pseudo leaf
nigeria	central african republic	pseudo leaf
protective factors	epidemiologic factors	pseudo leaf
cell adhesion molecules , neuronal	membrane proteins	neural cell adhesion molecules
transition elements	elements	pseudo leaf
gallbladder	pseudo root	pseudo leaf
muscle weakness	muscular diseases	pseudo leaf
urbanization	sociology	urban renewal
shoulder joint	joints	pseudo leaf
sclerosis	fibrosis	pseudo leaf
social values	socioeconomic factors	pseudo leaf
corneal perforation	corneal diseases	pseudo leaf
noise , occupational	noise	pseudo leaf
blood protein disorders	blood coagulation disorders	pseudo leaf
absorption	physical phenomena	absorption , physicochemical
chlorine compounds	inorganic chemicals	pseudo leaf
blood pressure monitoring , ambulatory	monitoring , ambulatory	pseudo leaf
pseudomonas vaccines	viral vaccines	pseudo leaf
biologic function	natural phenomenon or process	pseudo leaf
device approval	pseudo root	pseudo leaf
drug administration schedule	pharmacy administration	pseudo leaf
pain threshold	sensation	pseudo leaf
nuclear proteins	blood coagulation factor inhibitors	nuclear respiratory factors
atp binding cassette transporter , subfamily g , member 2	atp binding cassette transporter , subfamily g	pseudo leaf
pancreas , artificial	pancreas	pseudo leaf
yeast , dried	pseudo root	pseudo leaf
spiral ganglion	pseudo root	pseudo leaf
single person	persons	pseudo leaf
intelligence	cognition	pseudo leaf
egg shell	animal shells	pseudo leaf
proportional hazards models	models , statistical	pseudo leaf
freedom	human rights	genetic privacy
posterior cerebral artery	cerebral arteries	pseudo leaf
molar , third	molar	pseudo leaf
erythrocyte indices	pseudo root	pseudo leaf
prenatal injuries	birth injuries	pseudo leaf
community participation	social participation	pseudo leaf
organ preservation solutions	organ preservation	pseudo leaf
computed tomography angiography	tomography	pseudo leaf
physician payment review commission	pseudo root	pseudo leaf
radiography , dental , digital	radiography	pseudo leaf
cerebral angiography	angiography	pseudo leaf
ureter	kidney pelvis	pseudo leaf
prostatic diseases	genital diseases , male	prostatic hyperplasia
confidence intervals	pseudo root	pseudo leaf
splenic infarction	venous insufficiency	pseudo leaf
rupture , spontaneous	rupture	pseudo leaf
pulmonary ventilation	pulmonary circulation	pseudo leaf
infection control practitioners	general practitioners	pseudo leaf
milk banks	farms	pseudo leaf
elimination disorders	pseudo root	pseudo leaf
directed molecular evolution	pseudo root	pseudo leaf
new south wales	australia	pseudo leaf
thyroid nuclear factor 1	pseudo root	pseudo leaf
parasitic sensitivity tests	microbial sensitivity tests	disk diffusion antimicrobial tests
systematic review	peer review , research	pseudo leaf
united states department of agriculture	federal government	pseudo leaf
neuromuscular blocking agents	nerve agents	pseudo leaf
lip diseases	mouth diseases	lip neoplasms
orthopedic procedures	surgical procedures , operative	pseudo leaf
genes , bacterial	genes , microbial	pseudo leaf
chronic disease	disease	pseudo leaf
insurance coverage	insurance	pseudo leaf
saliva	fluids and secretions	pseudo leaf
brain edema	hypoxia , brain	pseudo leaf
gene pool	genetic phenomena	pseudo leaf
plant proteins , dietary	plant proteins	pseudo leaf
sex characteristics	pseudo root	pseudo leaf
epidemiology	medicine	molecular epidemiology
orthodontic wires	electrical equipment and supplies	pseudo leaf
coup transcription factors	transcription factors	pseudo leaf
prospective studies	epidemiologic studies	pseudo leaf
neonatal brachial plexus palsy	pseudo root	pseudo leaf
atp binding cassette transporter , subfamily b , member 2	atp binding cassette transporter , subfamily a	pseudo leaf
western australia	australia	pseudo leaf
lymphatic system	immune system	lymphatic vessels
enhanced recovery after surgery	pseudo root	pseudo leaf
articulation disorders	speech disorders	pseudo leaf
eye infections , parasitic	parasitic diseases	pseudo leaf
alpha rhythm	brain waves	pseudo leaf
poverty areas	poverty	pseudo leaf
education , veterinary	education , medical	pseudo leaf
hydrophobic and hydrophilic interactions	pseudo root	pseudo leaf
meningitis , viral	meningitis , bacterial	pseudo leaf
sand	soil	pseudo leaf
acidosis , renal tubular	metabolic diseases	pseudo leaf
seasons	climatic processes	pseudo leaf
cerebrospinal fluid pressure	intracranial pressure	pseudo leaf
