Query	Parent	Child
truffle_oil	processed meat products@@@151	leaf
boiled_potatoes	nut butter@@@887	white almond butter@@@1948
peach	chicken meat@@@1111	soup chicken@@@664
tofu_with_provence_herbs	hard cheese@@@371	leaf
sweetened_condensed_milk	dairy products dairy substitute products@@@110	leaf
gelatin	broths@@@883	leaf
salt	herbs spices@@@610	leaf
curd	dairy products dairy substitute products@@@110	leaf
peach_jam	processed meat products@@@151	leaf
coconut_cream	alcoholic beverages@@@1642	leaf
potato_flakes	processed meat products@@@151	leaf
vegetable_mix	nut butter@@@887	peanut butter@@@232
falafel	fruit juice@@@359	quince juice@@@804
ice_cubes	chicken meat@@@1111	chicken cutlets@@@462
blackberry_sorbet	nut butter@@@887	white almond butter@@@1948
lychee	chicken meat@@@1111	soup chicken@@@664
soft_drink_concentrates	alcoholic beverages@@@1642	leaf
tropical_fruits	broth powder cubes@@@334	fat free chicken broth powder@@@668
zwieback	bread baked goods@@@209	leaf
nuts_seeds	snacks@@@258	leaf
coffee_chocolate	dairy products dairy substitute products@@@110	leaf
