Query	Parent	Child
carrier state	pseudo root	pseudo leaf
hypertension , pulmonary	lung diseases	pseudo leaf
adoption	pseudo root	pseudo leaf
surrogate mothers	mothers	pseudo leaf
plasmids	nucleic acids	pseudo leaf
chromosomes , human , y	sex chromosomes	pseudo leaf
medical savings accounts	pseudo root	pseudo leaf
rna , mitochondrial	mitochondrial proteins	pseudo leaf
measles vaccine	viral vaccines	pseudo leaf
surgical clearance	surgical procedures , operative	pseudo leaf
truth disclosure	disclosure	pseudo leaf
thymic factor , circulating	blood coagulation factors	pseudo leaf
patient transfer	patient care	pseudo leaf
egg proteins , dietary	dietary proteins	pseudo leaf
abdominal fat	adipose tissue , white	subcutaneous fat , abdominal
wnt proteins	transcription factors	pseudo leaf
nucleotides , cyclic	adenine nucleotides	cyclic amp
bodily secretions	fluids and secretions	cervix mucus
receptors , peptide	receptors , cytokine	pseudo leaf
phagocytosis	pseudo root	pseudo leaf
lakes	environment	pseudo leaf
legislation , hospital	legislation , medical	pseudo leaf
judgment	learning	pseudo leaf
global health	environment and public health	pseudo leaf
intraocular lymphoma	eye neoplasms	pseudo leaf
hospital bed capacity , 100 to 299	pseudo root	pseudo leaf
blood sedimentation	blood physiological phenomena	pseudo leaf
cerebral arterial diseases	intracranial arterial diseases	pseudo leaf
observational study	clinical study	pseudo leaf
occupational health nursing	nursing	pseudo leaf
lung diseases , parasitic	lung diseases	pseudo leaf
reverse transcriptase polymerase chain reaction	pseudo root	pseudo leaf
sensory thresholds	perception	differential threshold
retirement	employment	pseudo leaf
anatomy , veterinary	anatomy	pseudo leaf
adaptor protein complex 1	adaptor proteins , vesicular transport	pseudo leaf
economics , pharmaceutical	economics	pseudo leaf
ventricular function , right	ventricular function	pseudo leaf
pregnancy complications , cardiovascular	pregnancy complications	pseudo leaf
tool use behavior	behavior	pseudo leaf
colony count , microbial	microbiological techniques	pseudo leaf
sensation disorders	nervous system diseases	pseudo leaf
accessory nerve injuries	wounds and injuries	pseudo leaf
advanced cardiac life support	cardiac rehabilitation	pseudo leaf
delivery rooms	hospital units	pseudo leaf
embryo disposition	tissue and organ harvesting	pseudo leaf
treatment outcome	health care evaluation mechanisms	pseudo leaf
fees , pharmaceutical	fees and charges	pseudo leaf
dietary fiber	plant preparations	pseudo leaf
absorption , radiation	physical phenomena	pseudo leaf
myocardium	cardiovascular system	pseudo leaf
work capacity evaluation	evaluation studies as topic	pseudo leaf
kidney tubules , collecting	pseudo root	pseudo leaf
complement factor d	blood coagulation factor inhibitors	pseudo leaf
pregnancy , ovarian	ovarian diseases	pseudo leaf
bone neoplasms	bone diseases	pseudo leaf
library administration	library science	pseudo leaf
solute carrier family 22 member 5	solute carrier proteins	pseudo leaf
creatine kinase , mitochondrial form	creatine kinase	pseudo leaf
cell membrane structures	cells	extracellular vesicles
organic anion transport protein 1	organic cation transport proteins	pseudo leaf
aortic valve insufficiency	aortic diseases	pseudo leaf
psychology , sports	behavioral sciences	pseudo leaf
glasgow coma scale	neurologic examination	pseudo leaf
air filters	technology , industry , and agriculture	pseudo leaf
pathology , oral	dentistry	pseudo leaf
brain tissue transplantation	tissue transplantation	pseudo leaf
combat disorders	mental disorders	pseudo leaf
reproductive rights	human rights	pseudo leaf
carcinoma , papillary	carcinoma	adenocarcinoma , papillary
dental pulp	tooth components	dental pulp cavity
central nervous system fungal infections	central nervous system diseases	meningitis , fungal
veins	cardiovascular system	pseudo leaf
taste perception	perception	pseudo leaf
receptor , angiotensin , type 1	pseudo root	pseudo leaf
models , immunological	models , biological	pseudo leaf
ethics committees	professional practice	pseudo leaf
transportation	therapeutics	transportation of patients
students , nursing	students	pseudo leaf
lipid accumulation product	pseudo root	pseudo leaf
light signal transduction	physical phenomena	pseudo leaf
mitosis modulators	physiological effects of drugs	pseudo leaf
bones of upper extremity	bone and bones	pseudo leaf
health records , personal	records	pseudo leaf
brain injuries	nervous system diseases	brain injury , chronic
nuclear export signals	protein sorting signals	pseudo leaf
abdominal cavity	abdomen	pseudo leaf
organ dysfunction scores	pseudo root	pseudo leaf
online social networking	communication	pseudo leaf
copper	metals , heavy	pseudo leaf
reproductive isolation	reproductive techniques	pseudo leaf
fuzzy logic	logic	pseudo leaf
job description	employment	pseudo leaf
base pairing	biochemical phenomena	pseudo leaf
rectal diseases	intestinal diseases	pseudo leaf
psychology	behavioral sciences	pseudo leaf
intercellular signaling peptides and proteins	peptides	card signaling adaptor proteins
electronic supplementary materials	publications	pseudo leaf
insurance , disability	insurance	pseudo leaf
rna splice sites	pseudo root	pseudo leaf
mars	planets	pseudo leaf
kidneys , artificial	artificial organs	pseudo leaf
dilatation , pathologic	pathologic processes	pseudo leaf
prion diseases	pseudo root	pseudo leaf
hepatitis b core antigens	hepatitis antigens	pseudo leaf
carcinoma , ductal	carcinoma	pseudo leaf
workplace violence	sociology	pseudo leaf
abdominal muscles	muscles	pseudo leaf
skull base	pseudo root	pseudo leaf
liver regeneration	regeneration	pseudo leaf
type b personality	personality	pseudo leaf
arthroplasty , replacement , shoulder	arthroplasty	pseudo leaf
forms and records control	organization and administration	pseudo leaf
abortion , legal	abortion , criminal	pseudo leaf
chief executive officers , hospital	hospital administration	pseudo leaf
account book	publication formats	pseudo leaf
cataract extraction	refractive surgical procedures	pseudo leaf
essay	publication formats	pseudo leaf
food analysis	pseudo root	food inspection
heart	cardiovascular system	pseudo leaf
social marketing	marketing	pseudo leaf
data mining	statistics as topic	pseudo leaf
olfactory perception	perception	pseudo leaf
popular work	publication formats	pseudo leaf
fractional precipitation	chemical fractionation	pseudo leaf
mutation	genetic variation	pseudo leaf
paper	technology , industry , and agriculture	pseudo leaf
hypothalamus , middle	hypothalamus	pseudo leaf
neurological rehabilitation	rehabilitation	pseudo leaf
maximum allowable concentration	occupational exposure	pseudo leaf
postoperative nausea and vomiting	pseudo root	pseudo leaf
meningitis , pneumococcal	pneumococcal infections	pseudo leaf
combined modality therapy	therapeutics	pseudo leaf
cardiac surgical procedures	surgical procedures , operative	pseudo leaf
dynamic light scattering	chemistry techniques , analytical	pseudo leaf
association learning	learning	pseudo leaf
fish proteins , dietary	dietary proteins	pseudo leaf
geographic area	pseudo root	pseudo leaf
leishmania major	pseudo root	pseudo leaf
paralysis	neurologic manifestations	respiratory paralysis
united states office of national drug control policy	federal government	pseudo leaf
ovarian follicle	ovary	follicular fluid
stem cells	cells	pseudo leaf
genetic fitness	genetic phenomena	pseudo leaf
apnea	respiration disorders	sleep apnea , central
brain injuries , traumatic	trauma , nervous system	central cord syndrome
prenatal care	maternal health services	postnatal care
membranes , artificial	artificial organs	pseudo leaf
taste disorders	mouth diseases	pseudo leaf
interview , psychological	psychological techniques	pseudo leaf
adaptation , psychological	psychological phenomena	pseudo leaf
melanoma	pseudo root	pseudo leaf
pathology , veterinary	veterinary medicine	pseudo leaf
protective devices	equipment and supplies	head protective devices
receptors , artificial	receptors , cell surface	pseudo leaf
plant viral movement proteins	viral proteins	pseudo leaf
attitude to health	pseudo root	public opinion
neurotoxicity syndromes	neurologic manifestations	pseudo leaf
lighting	environment , controlled	pseudo leaf
social behavior	behavior	pseudo leaf
olfactory pathways	neural pathways	pseudo leaf
hematologic tests	clinical laboratory techniques	blood cell count
bone density conservation agents	molecular mechanisms of pharmacological action	pseudo leaf
thoracic wall	thorax	pseudo leaf
serine proteinase inhibitors	blood coagulation factor inhibitors	pseudo leaf
vascular diseases	cardiovascular diseases	pseudo leaf
exercise therapy	physical therapy modalities	pseudo leaf
dendrites	neurons	pseudo leaf
reproductive health	population characteristics	pseudo leaf
epileptic syndromes	seizures	pseudo leaf
survival rate	pseudo root	pseudo leaf
oral ulcer	ulcer	pseudo leaf
patient care team	patient care management	pseudo leaf
hospitals , general	hospitals , special	pseudo leaf
receptors , angiotensin	receptors , cytokine	pseudo leaf
iran	pseudo root	pseudo leaf
photons	electromagnetic phenomena	pseudo leaf
creatine kinase , bb form	creatine kinase	pseudo leaf
outpatient clinics , hospital	health facilities	pseudo leaf
femoral artery	arteries	pseudo leaf
anemia , refractory	anemia	pseudo leaf
retinal degeneration	retinal diseases	geographic atrophy
erythrocyte aggregation	cell aggregation	pseudo leaf
portion size	diet , food , and nutrition	pseudo leaf
auditory brain stem implantation	cochlear implantation	pseudo leaf
management information systems	organization and administration	pseudo leaf
secretory vesicles	extracellular vesicles	pseudo leaf
purchasing , hospital	hospital administration	pseudo leaf
college admission test	school admission criteria	pseudo leaf
patient care planning	comprehensive health care	advance care planning
disease models , animal	models , biological	pseudo leaf
heavy metal poisoning	heavy metal poisoning , nervous system	manganese poisoning
pancreatic fistula	pancreatic diseases	pseudo leaf
religion and science	religion	pseudo leaf
ventral striatum	pseudo root	pseudo leaf
blood circulation	cardiovascular physiological phenomena	pseudo leaf
cobalt isotopes	cobalt	pseudo leaf
nursing service , hospital	hospital administration	pseudo leaf
insurance , psychiatric	insurance , health	pseudo leaf
anger	emotions	pseudo leaf
age groups	population groups	pseudo leaf
medicare part b	insurance , health	pseudo leaf
vaccines , contraceptive	vaccines	pseudo leaf
hardness	mechanical phenomena	pseudo leaf
salivary ducts	pseudo root	pseudo leaf
oxytocin	hypothalamic hormones	pseudo leaf
smoking cessation	smoking	pseudo leaf
pulmonary surfactants	respiratory system agents	pseudo leaf
education , nursing , associate	education , nursing , graduate	pseudo leaf
raf kinases	pseudo root	pseudo leaf
motor vehicles	pseudo root	pseudo leaf
systems biology	biology	pseudo leaf
transplant recipients	persons	tissue donors
chlorophyll a	chlorophyll	pseudo leaf
logistic models	models , statistical	pseudo leaf
electronic waste	waste products	pseudo leaf
central nervous system bacterial infections	central nervous system diseases	tuberculosis , central nervous system
united states public health service	federal government	pseudo leaf
activities of daily living	human activities	pseudo leaf
rats , inbred shr	rats , inbred strains	pseudo leaf
endothelial progenitor cells	endothelial cells	pseudo leaf
erythrocyte count	cell count	pseudo leaf
virus shedding	virus physiological phenomena	pseudo leaf
sex work	work	pseudo leaf
nursing services	health services	pseudo leaf
tumor escape	pseudo root	pseudo leaf
behavioral symptoms	signs and symptoms	pseudo leaf
relative biological effectiveness	pseudo root	pseudo leaf
polysaccharides , bacterial	polysaccharides	pseudo leaf
argentina	south america	pseudo leaf
veterans health	population characteristics	pseudo leaf
rna , algal	rna	pseudo leaf
selenium	selenium compounds	selenium oxides
public housing	public facilities	pseudo leaf
carcinoma , squamous cell	neoplasms , squamous cell	pseudo leaf
peer influence	power , psychological	pseudo leaf
hematopoietic stem cell mobilization	pseudo root	pseudo leaf
disability evaluation	diagnostic techniques and procedures	pseudo leaf
hereditary sensory and motor neuropathy	peripheral nervous system diseases	pseudo leaf
nursing assessment	nursing process	pseudo leaf
mediterranean islands	mediterranean region	pseudo leaf
dental caries activity tests	dental health surveys	pseudo leaf
forensic pathology	forensic sciences	pseudo leaf
contraception	reproductive techniques	pseudo leaf
occipital lobe	parietal lobe	somatosensory cortex
manufactured materials	technology , industry , and agriculture	pseudo leaf
tonic pupil	eye diseases	pseudo leaf
microscopy , scanning probe	diagnostic imaging	microscopy , atomic force
nuclease protection assays	genetic techniques	pseudo leaf
sleep hygiene	hygiene	pseudo leaf
identity crisis	sociology	pseudo leaf
exosomes	extracellular vesicles	pseudo leaf
state medicine	medicine	pseudo leaf
aneurysm	cardiovascular diseases	aneurysm , false
gene dosage	pseudo root	pseudo leaf
diet , healthy	nutritional physiological phenomena	pseudo leaf
pleural cavity	thoracic cavity	pseudo leaf
reproductive physiological phenomena	physiological phenomena	sexual development
actin cytoskeleton	cytoskeletal proteins	pseudo leaf
osteoporosis	bone diseases	pseudo leaf
blindness	eye diseases	pseudo leaf
education , medical , continuing	education	pseudo leaf
salt stress	pseudo root	pseudo leaf
lymphocyte antigen 96	pseudo root	pseudo leaf
dental prosthesis repair	dental prosthesis	dental restoration repair
nervous system autoimmune disease , experimental	autoimmune diseases of the nervous system	pseudo leaf
hospitals , pediatric	hospitals , special	pseudo leaf
bronchial neoplasms	bronchial diseases	pseudo leaf
viral envelope proteins	viral proteins	pseudo leaf
anal canal	intestine , large	pseudo leaf
pain management	rehabilitation	pseudo leaf
mycobacterium tuberculosis	mycobacterium	pseudo leaf
animal proteins , dietary	dietary proteins	pseudo leaf
lewis acids	inorganic chemicals	pseudo leaf
leukocyte reduction procedures	blood component transfusion	pseudo leaf
lactation	reproductive and urinary physiological phenomena	pseudo leaf
child welfare	social welfare	pseudo leaf
disease eradication	disease transmission , infectious	pseudo leaf
neoplastic process	genetic variation	pseudo leaf
manual lymphatic drainage	drainage	pseudo leaf
mirror neurons	neurons	pseudo leaf
headache disorders , primary	headache disorders	pseudo leaf
asian continental ancestry group	continental population groups	pseudo leaf
glycogen storage disease type iv	glycogen storage disease	pseudo leaf
single photon emission computed tomography computed tomography	tomography	pseudo leaf
nuclear envelope	cytoplasm	nuclear pore
international classification of functioning , disability and health	pseudo root	pseudo leaf
acute disease	disease attributes	pseudo leaf
patient positioning	physical examination	pseudo leaf
emergence delirium	delirium	pseudo leaf
dental etching	technology , dental	pseudo leaf
biological transport , active	metabolism	pseudo leaf
focal epithelial hyperplasia	pseudo root	pseudo leaf
metals , light	metals	pseudo leaf
paternal age	family characteristics	pseudo leaf
respiratory aspiration of gastric contents	respiratory physiological phenomena	pseudo leaf
dual use research	biomedical research	pseudo leaf
diagnostic techniques , neurological	diagnostic techniques and procedures	neuromuscular monitoring
axillary artery	arteries	pseudo leaf
nanostructures	technology , industry , and agriculture	pseudo leaf
fatty liver	liver diseases , alcoholic	fatty liver , alcoholic
synovial cyst	pseudo root	pseudo leaf
dermatitis , occupational	occupational diseases	pseudo leaf
multiplex polymerase chain reaction	pseudo root	pseudo leaf
multiple system atrophy	abnormalities , multiple	pseudo leaf
health plan implementation	health policy	pseudo leaf
growth differentiation factor 2	growth differentiation factors	pseudo leaf
epithelial cells	cells	pseudo leaf
dermatitis , allergic contact	dermatitis	pseudo leaf
death effector domain	pseudo root	pseudo leaf
cord factors	pseudo root	pseudo leaf
hospital departments	hospital administration	pseudo leaf
educational activity	learning	pseudo leaf
fish oils	oils	pseudo leaf
poultry	animals , domestic	pseudo leaf
hypertensive retinopathy	eye diseases	pseudo leaf
hospital bed capacity	hospital administration	pseudo leaf
pregnancy , prolonged	pregnancy complications	pseudo leaf
colitis	colonic diseases	pseudo leaf
parental notification	pseudo root	pseudo leaf
indole alkaloids	amino acids	tryptophan
database	information systems	pseudo leaf
airway management	patient care management	pseudo leaf
child guidance	psychological techniques	pseudo leaf
sodium bicarbonate	sodium compounds	pseudo leaf
electrophoresis , cellulose acetate	electrophoresis	pseudo leaf
anxiety , separation	anxiety	pseudo leaf
healthy lifestyle	life style	pseudo leaf
tissue extracts	complex mixtures	placental extracts
subcutaneous absorption	chemical phenomena	pseudo leaf
receptors , chemokine	receptors , cytokine	pseudo leaf
peptide termination factors	transcription factors	pseudo leaf
bayes theorem	probability	pseudo leaf
tinnitus	hearing disorders	pseudo leaf
fees , medical	fees and charges	pseudo leaf
computer graphics	computing methodologies	pseudo leaf
abortion applicants	persons	pseudo leaf
skin absorption	chemical phenomena	pseudo leaf
african union	united nations	pseudo leaf
travel	human activities	pseudo leaf
fatty acid transport proteins	membrane proteins	pseudo leaf
musculoskeletal physiological phenomena	pseudo root	musculoskeletal development
phantom limb	sensation	pseudo leaf
tablets	pharmaceutical preparations	pseudo leaf
peripheral nerves	nervous system	pseudo leaf
lipid metabolism disorders	metabolic diseases	pseudo leaf
forensic toxicology	forensic sciences	pseudo leaf
biological monitoring	pseudo root	pseudo leaf
live birth	pregnancy	pseudo leaf
hemodialysis units , hospital	hospital units	pseudo leaf
cold injury	wounds and injuries	pseudo leaf
genetic testing	genetic techniques	pseudo leaf
elasticity imaging techniques	pseudo root	pseudo leaf
speech recognition software	software	pseudo leaf
violence	behavior	aggression
gc rich sequence	base sequence	pseudo leaf
spores , fungal	fungal structures	pseudo leaf
iron carbonyl compounds	iron compounds	pseudo leaf
friends	persons	pseudo leaf
uterine rupture	uterine diseases	pseudo leaf
psychology , developmental	behavioral sciences	pseudo leaf
kidney cortex necrosis	kidney diseases	pseudo leaf
genes , synthetic	genes	pseudo leaf
sugar acids	carboxylic acids	pseudo leaf
housing	residence characteristics	pseudo leaf
s phase	cell cycle	pseudo leaf
fatty acids	carboxylic acids	pseudo leaf
laboratory procedure	pseudo root	pseudo leaf
ultrasonic waves	sound	pseudo leaf
in situ hybridization , fluorescence	in situ hybridization	pseudo leaf
health planning guidelines	legislation as topic	health systems plans
anomalous left coronary artery	coronary artery disease	pseudo leaf
legislation , food	legislation as topic	pseudo leaf
sleep stages	pseudo root	pseudo leaf
renal blood flow , effective	renal circulation	renal plasma flow
excitatory amino acid transporter 4	glutamate plasma membrane transport proteins	pseudo leaf
protein corona	blood coagulation factor inhibitors	pseudo leaf
fibrin clot lysis time	time	pseudo leaf
greek world	pseudo root	pseudo leaf
clay	soil	pseudo leaf
laboratory infection	infections	pseudo leaf
eye injuries	eye diseases	pseudo leaf
lithium	elements	pseudo leaf
estrogen receptor alpha	receptors , estrogen	pseudo leaf
models , molecular	models , theoretical	pseudo leaf
periodic acid	chemical viewed functionally	pseudo leaf
muscle strength	musculoskeletal and neural physiological phenomena	pseudo leaf
fetal resorption	embryonic and fetal development	pseudo leaf
probability learning	probability	pseudo leaf
drug industry	industry	pseudo leaf
health impact assessment	health care evaluation mechanisms	pseudo leaf
pain perception	perception	pseudo leaf
editorial	publication formats	pseudo leaf
cerebellar neoplasms	pseudo root	pseudo leaf
religion and medicine	pseudo root	pseudo leaf
ion channel gating	pseudo root	pseudo leaf
veterans disability claims	pseudo root	pseudo leaf
trigger points	muscles	pseudo leaf
books	publication formats	pseudo leaf
radiation oncology	medical oncology	pseudo leaf
metabolic side effects of drugs and substances	pseudo root	pseudo leaf
milk , human	milk	pseudo leaf
preexisting condition coverage	insurance , health	pseudo leaf
intracellular membranes	membranes	pseudo leaf
conservative treatment	therapeutics	pseudo leaf
thermal diffusion	chemical phenomena	pseudo leaf
tobacco smoking	smoking	pseudo leaf
hepatitis , animal	animal diseases	pseudo leaf
fresh water	water	pseudo leaf
anatomical abnormality	anatomical structure	pseudo leaf
optical phenomena	physical phenomena	pseudo leaf
early growth response protein 1	pseudo root	pseudo leaf
brain neoplasms	central nervous system diseases	pseudo leaf
adenocarcinoma in situ	adenocarcinoma	pseudo leaf
reference standards	weights and measures	pseudo leaf
diabetes mellitus , type 2	diabetes mellitus	pseudo leaf
obstetric labor , premature	labor , obstetric	pseudo leaf
cadmium compounds	inorganic chemicals	cadmium chloride
feeder cells	cells	pseudo leaf
narrative medicine	writing	pseudo leaf
meat proteins	dietary proteins	pseudo leaf
idea or concept	mental processes	pseudo leaf
nigeria	africa , western	pseudo leaf
protective factors	population characteristics	pseudo leaf
cell adhesion molecules , neuronal	membrane glycoproteins	neural cell adhesion molecules
transition elements	elements	pseudo leaf
gallbladder	pseudo root	pseudo leaf
muscle weakness	muscular diseases	pseudo leaf
urbanization	population dynamics	pseudo leaf
shoulder joint	joints	pseudo leaf
sclerosis	pathologic processes	pseudo leaf
social values	socioeconomic factors	pseudo leaf
corneal perforation	corneal injuries	pseudo leaf
noise , occupational	noise	pseudo leaf
blood protein disorders	hematologic diseases	pseudo leaf
absorption	physical phenomena	pseudo leaf
chlorine compounds	inorganic chemicals	chlorine
blood pressure monitoring , ambulatory	monitoring , physiologic	pseudo leaf
pseudomonas vaccines	viral vaccines	pseudo leaf
biologic function	natural phenomenon or process	pseudo leaf
device approval	evaluation studies as topic	pseudo leaf
drug administration schedule	time management	pseudo leaf
pain threshold	neurologic examination	pseudo leaf
nuclear proteins	blood coagulation factor inhibitors	pseudo leaf
atp binding cassette transporter , subfamily g , member 2	pseudo root	pseudo leaf
pancreas , artificial	artificial organs	pseudo leaf
yeast , dried	saccharomyces cerevisiae	pseudo leaf
spiral ganglion	pseudo root	pseudo leaf
single person	persons	pseudo leaf
intelligence	learning	pseudo leaf
egg shell	eggs	pseudo leaf
proportional hazards models	models , statistical	pseudo leaf
freedom	sociology	privacy
posterior cerebral artery	cerebral arteries	pseudo leaf
molar , third	molar	pseudo leaf
erythrocyte indices	pseudo root	pseudo leaf
prenatal injuries	birth injuries	pseudo leaf
community participation	social participation	pseudo leaf
organ preservation solutions	pharmaceutical solutions	pseudo leaf
computed tomography angiography	angiography	pseudo leaf
physician payment review commission	pseudo root	pseudo leaf
radiography , dental , digital	radiography	pseudo leaf
cerebral angiography	angiography	pseudo leaf
ureter	urinary tract	pseudo leaf
prostatic diseases	genital diseases , male	pseudo leaf
confidence intervals	pseudo root	pseudo leaf
splenic infarction	infarction	pseudo leaf
rupture , spontaneous	rupture	pseudo leaf
pulmonary ventilation	respiratory physiological phenomena	pseudo leaf
infection control practitioners	physicians	pseudo leaf
milk banks	pseudo root	pseudo leaf
elimination disorders	mental disorders	pseudo leaf
directed molecular evolution	evolution , molecular	pseudo leaf
new south wales	australia	pseudo leaf
thyroid nuclear factor 1	transcription factors	pseudo leaf
parasitic sensitivity tests	microbial sensitivity tests	pseudo leaf
systematic review	policy	pseudo leaf
united states department of agriculture	federal government	pseudo leaf
neuromuscular blocking agents	nerve agents	pseudo leaf
lip diseases	mouth diseases	pseudo leaf
orthopedic procedures	rehabilitation	manipulation , orthopedic
genes , bacterial	genes	pseudo leaf
chronic disease	disease attributes	pseudo leaf
insurance coverage	insurance	pseudo leaf
saliva	substance	pseudo leaf
brain edema	pseudo root	pseudo leaf
gene pool	genetic structures	pseudo leaf
plant proteins , dietary	dietary proteins	pseudo leaf
sex characteristics	pseudo root	pseudo leaf
epidemiology	medicine	pseudo leaf
orthodontic wires	electrical equipment and supplies	pseudo leaf
coup transcription factors	transcription factors	pseudo leaf
prospective studies	epidemiologic methods	pseudo leaf
neonatal brachial plexus palsy	pseudo root	pseudo leaf
atp binding cassette transporter , subfamily b , member 2	pseudo root	pseudo leaf
western australia	australia	pseudo leaf
lymphatic system	immune system	lymph
enhanced recovery after surgery	postoperative care	pseudo leaf
articulation disorders	speech disorders	pseudo leaf
eye infections , parasitic	parasitic diseases	pseudo leaf
alpha rhythm	brain waves	pseudo leaf
poverty areas	poverty	pseudo leaf
education , veterinary	education , medical	pseudo leaf
hydrophobic and hydrophilic interactions	chemical phenomena	pseudo leaf
