,label,desc
138,jeonbok juk,korean abalone rice porridge
139,jatjuk,Korean porridge
140,dakjuk,Korean chicken porridge dish
141,euneo juk,Korean porridge
142,heugimja juk,Korean porridge
143,jangguk juk,Korean porridge
144,bosnian pot,Bosnian dish
145,simit,"ring-shaped bread roll originating in Turkey, typically encrusted with sesame seeds"
146,kandil simidi,"special circular bread with sesame or ""çörekotu"" made for certain religious days"
147,dosa,thin pancakes originating from South India
148,neer dosa,"unique dish of Tulu Nadu, India"
149,pesarattu,type of Indian bread
150,masala dosa,a variant of South Indian food dosa
152,soto ayam,Indonesian spicy chicken soup
153,muktuk,dish made from whale skin and blubber
154,fufu,dough-like food in African cuisine
155,manuka honey,type of honey
156,beef bourguignon,French wine-based beef stew
157,gözleme,Turkish cuisine dish
158,gözleme with beef,Gözleme filled with ground beef
159,kısır,meze and teatime dish from the Turkish cuisine
160,sōki,Japanese pork dish
161,shabu shabu,Japanese dish
163,united states military chocolate,part of standard the United States military ration
164,fried rice,cooked rice stir-fried with eggs and other ingredients
165,nasi goreng,Indonesia fried rice
166,khao phat tom yam,type of fried rice
167,khao phat amerikan,"Thai fried rice dish with ""American"" side ingredients like fried chicken, ham, hot dogs, raisins, ketchup, and croutons"
168,pepe,Chinese-Peruvian dish of fried rice
169,khao phat,Thai fried rice
170,nasi goreng pattaya,Thailand rice dish
171,nasi paprik,Thai dish of fried rice flavoured with sauteed chilli paste
174,bokkeum bap,Korean fried rice
175,kimchi fried rice,kimchi fried rice
176,chofàn,Chinese fried rice
177,yangzhou fried rice,Chinese-style dish
179,hokkien fried rice,Hong Kong fried rice dish
180,chāhan,Japanese fried rice
182,sobameshi,Fried noodles and rice
183,java rice,fried rice dish from the Philippines
184,pineapple fried rice,Thai cooked rice stir-fried with pineapples and other ingredients
185,tripe soup,soup
186,tripes à la mode de caen,traditional dish in Normandy cuisine
187,sopa de mondongo,spanish-origin dish
188,menudo,Mexican soup
189,flaki,traditional Polish meat stew
190,ciorbă de burtă,Rumanian tripe soup
192,corned beef,salt-cured beef product
194,black seabream,species of fish
195,jajangmyeon,Chinese-style Korean noodle dish
196,uja,korean food
197,cuajada,dessert
198,gefilte fish,dish made from a poached mixture of ground deboned fish
199,sofrito,"sauce used as a base in Latin American, Spanish, Italian, and Portuguese cooking"
201,todarodes sagittatus,species of squid
204,sanuki udon,type of noodle
206,korokke,Japanese potato dish
209,rolled oats,lightly processed whole-grain food made from oat
210,intxaursaltsa,basque dessert
211,ampyang,Indonesia traditional snack made of peanut and brown sugar
212,kilishi,"Hausa dish of spiced dried beef, mutton or goat meat"
213,ghormeh sabzi,Iranian herb stew
214,asparagus bean,subspecies of cowpea plant
215,crème anglaise,light pouring custard
216,pickled cucumber,preserved vegetable
217,spreewald gherkins,trademarked gherkins
219,pickle relish,"condiment with cucumber, onion, mustard seeds and peppers"
220,bostongurka,type of pickle relish
221,chicago style relish,condiment
223,raita,"Indian side dish of yogurt with vegetables, fruit etc."
224,grains of selim,fruits of Xylopia aethiopica
225,khustonig,food
226,lemang,Indonesian and Malaysian traditional food
228,kabsa,Arab rice dish
229,kaşar,Turkish cheese
230,kenkey,staple dish
231,hollandse nieuwe,raw herring soaked in a mild preserving liquid
232,cioccolato di modica,Italian specialty chocolate
233,khubz,round leavened Middle-Eastern flatbread
234,nasi krawu,A rice dish from Gresik
235,sauce ravigote,"classic, lightly acidic sauce in French cuisine"
238,sale pisang,dried banana dish from Indonesia
239,racuchy,Polish sweet dish
241,tofu skin,Chinese and Japanese food product made from soybeans
244,liege waffle,"dense, sweet, chewy waffle, native to Wallonia, made with brioche dough with chunks of sugar which caramelize on the outside"
246,pepernoot,tiny Dutch cookie made from many rich ingredients
247,kruidnoten,Dutch candies
249,chuño,South American freeze-dried potato product
250,lacquemant waffles,"culinary specialty from Liège, commonly eaten during the October fair; thin wheaten wafer, cut in two horizontally, filled and coated with sugar candy syrup flavored with orange blossom"
251,fusarium venenatum,species of fungus
252,fasole cu cârnaţi,Romanian dish
253,lemper,Indonesia traditional food
255,sate kambing,Indonesian goat meat dish
256,ayam taliwang,Indonesian roasted chicken dish from Lombok
257,çiğ köfte,raw meat or vegan bulgur dish from the Turkish cuisine
258,idiyappam,Indian rice noodle dish
260,frog cake,type of cake from Australia
261,bsisa,dish from Tunisia
262,qatayef,Qatayef dumplings
263,yufka bread,flatbread made with dough leaves
264,tandoor bread,bread made in a tandoor
265,flat peach,variety of plants
266,tumpeng,Indonesian rice dish molded into a mountain shape and served with various side dishes originating from Java island
267,cream soup,soup made with cream
268,tomato soup,"soup, basicly made of tomato pulp"
269,salmorejo,cold soup made with tomatoes and bread
271,cream of mushroom soup,type of soup
272,salmorejo,cold soup made with tomatoes and bread
273,cream of asparagus soup,food
274,cream of broccoli soup,"soup prepared with broccoli, stock, and milk or cream"
276,rolled dough,piece of dough that has been flattened with a rolling pin
277,sfoglia,form of Italian fresh pasta
278,condensed milk,cow's milk from which water has been removed
279,salted duck egg,traditional Asian dish common in several regions
280,fried green tomatoes,dish in Southern United States
281,tklapi,Georgian fruit leather
283,rice and beans,food dish
284,falooda,liquid dessert
286,calentica,Algerian street dish
287,blackcurrant,fruit of the plant Ribes nigrum
288,rissole,European dish
289,barbajuan,southern European appetizer
290,picada,sauce in catalan cuisine
292,stuffed vegetable,stuffed vegetable dish
293,dolma,"category of dishes of stuffed vegetables, fruits, seafood and flowers"
294,stuffed squash,Dish common in the former Ottoman Empire
295,sarma,"cabbage, vine leaf, or other leaf roll"
296,sinjski arambaši,Croatian meat dish
297,rice stuffed artichoke,"rice-stuffed artichoke, from the Turkish cuisine"
298,amchur korola dolma,bengali cuisine
299,chhana potol dolma,bengali cuisine
300,kachkola chal guror dolma,bengali cuisine
301,chhatu beguner dolma,bengali cuisine
302,doi kochur dolma,bengali cuisine
303,kofta,family of meatball or meatloaf dishes
304,makhani dal kopta,bengali cuisine
305,kumror kopta,bengali cuisine
306,pona macher kopta,bengali cuisine
307,chitol macher kopta,bengali cuisine
308,kofte bozbash,stew dish with meatballs
309,tabriz köfte,Iranian meatball
310,liklikî,type of kofte
311,tepetep,Köfte Type
312,köftes in the turkish cuisine,"""köfte"" dishes in the Turkish cuisine"
313,smyrna meatballs,"A ""köfte"" dish that originated in Izmir, Turkey, and common to the Turkish and Greek cuisines."
314,ıslama köfte,Turkish kofte (köfte) variant
315,manisa kebap,Turkish cuisine meat dish
316,kadınbudu köfte,"""köfte"" dish from the Turkish cuisine"
317,pideli köfte,"""köfte"" (meatball) dish from the Turkish cuisine"
318,besmeç,kind of Turkish köfte
319,akçaabat meatballs,Köfte dish from Turkish cuisine
320,şiş köfte,Kofte meatballs grilled on a skewer
321,i̇negöl meatballs,"Turkish köfte variety from İnegöl, Bursa"
322,sulu köfte,"Turkish ""köfte"" dish with its own soup or broth, or better a Turkish stew with meatballs"
323,tekirdağ köfte,"Meatballs in the Turkish cuisine, originating from the city and province of Tekirdağ"
324,kuru köfte,Turkish cuisine köfte variety
326,enchorer kopta,bengali cuisine
327,badhakopir kopta,bengali cuisine
328,alu kopta,bengali cuisine
329,kanchakolar kopta,bengali cuisine
330,mochar kopta,bengali cuisine
331,dhonkar kaliya,bengali cuisine
332,chhanar koptakari,bengali cuisine
333,malai kopta,bengali cuisine
334,dumurer kopta,bengali cuisine
335,panong kopta,bengali cuisine
336,chhirer kopta,bengali cuisine
337,dheros er kopta,bengali cuisine
338,dal moshla kopta,bengali cuisine
339,begun methi kopta,bengali cuisine
340,lau beson kopta,bengali cuisine
341,biuli dal methi kopta,bengali cuisine
342,doi chhatu kopta,bengali cuisine
343,bandhakopir moshla kopta,bengali cuisine
344,enchor doi kopta,bengali cuisine
345,alu uchchher kopta,bengali cuisine
346,chingrir pur vora chhanar kofta,bengali cuisine
347,seon,Korean traditional dishes
349,cabbage roll,dish of cabbage leaves with a filling
350,capoun,"green cabbage stuffed culinary specialty of Nice, France"
351,capuns,Stuffed chard leaves from Swiss cuisine
352,holishkes,Jewish dish of cabbage rolls
353,sarmale,mâncare traditional romaneasca
354,sarma,"cabbage, vine leaf, or other leaf roll"
355,gołąbki,Central European dish
356,stuffed tomatoes,tomato dish
357,stuffed mushrooms,Culinary dish or snack
358,stuffed cucumber,Ingredient and dish
359,grelos,leafy vegetables from the Mediterranean
360,piquillo pepper,species of chilli pepper
361,thyme,"herb with culinary, medicinal and ornamental uses"
362,otak otak,Muarian fish cakes
363,nasi uduk,Indonesian traditional rice cooked with coconut milk
364,nasi kucing,Indonesian rice dish originating from Java island
365,nasi kuning,Indonesian yellow rice dish originating from Java
366,nasi campur,Indonesian rice dish originating from Java island
368,christmas ham,ham eaten for Christmas
369,campagne bread,French risen bread
370,katemak,"East Nusa Tenggara food made from beef, sweet potatoes and corn"
371,klappertaart,Indonesian traditional cake
372,somun,round bread from Turkish cuisine
373,neera,Palm nectar used as a drink
374,vallée daoste jambon de bosses,ham product
375,yuvarlak,"Turkish loan word (meaning ""round"") in Greek language, used for ""ekşili köfte""."
377,ternasco de aragón,Protected geographical indication of lamb meat
379,sadya,"Traditional feast in Kerala, India"
380,peanut,seed from Arachis hypogaea
381,mr peanut,mascot for Planters Peanuts
382,french burnt peanuts,Candy
383,kattama,flatbread from the Turkish and Central Asian cuisines
384,kuymak,"cornmeal, butter and cheese dish from the central-eastern Black Sea Region of Turkey"
385,ciavarro,Italian soup
386,twisties,salty snack
387,simomactra falcata,species of mollusc
388,es doger,Indonesian iced coconut milk
389,kidney,type of offal
390,lumpia semarang,spring roll from Indonesia
391,mixed nuts,snack food consisting of any mixture of mechanically or manually combined nuts
392,nagasari,Indonesia steamed cake
393,oncom,Indonesian traditional food
394,botok,Indonesian dish
395,mung bean soup,Indonesian mung bean soup
396,lawar,Indonesian dish
397,pempek,a type of Indonesian fishcake
398,pempek lenggang,variant of pempek
400,pempek lenjer,variant of pempek
401,sega lengko,Javanese dish
402,lupis,Indonesian traditional cake
403,karedok,Indonesian salad dish
404,nasi kebuli,Indonesian rice dish
405,sangsang,Indonesian dish
406,bakwan,vegetable fritter
407,mie celor,Indonesian dish
408,katsu sandwich,Japanese sandwich
410,kofte bozbash,stew dish with meatballs
412,geplak,"Southeast Asian sweet snack, originating from Indonesia"
413,tongseng,Indonesian goat soup
414,papeda,Indonesian traditional dish originating from East Indonesian region
415,chicken tabaka,chicken dish
416,parle g,Indian biscuit
417,kinema,food of Nepal
418,amalayam flour,traditional Yoruba Nigerian food made of root flour
419,tempoyak,Malay condiment made from fermented durian
421,arsik,Indonesian Batak carp fish with spicy ingredients
422,asam pedas,Malay and Minangkabau food
423,bazlama,Turkish flatbread
424,pide,Turkish oven-baked flatbread
425,tahinli pide,pide sort (sweet)
426,ramadan pide,Turkish traditional bread
427,pide,Turkish flatbread dish
428,karadeniz pidesi,"Turkish oven-baked dish consisting of a ""pide"" flatbread with a filling or topping."
429,etli ekmek,"Turkish ""pide"" from the city and province of Konya"
430,peynirli pide,Turkish pide type
431,bursa cantık pide,Turkish içli pide variety
433,şehriye,Turkish pasta used in soups and other dishes
434,orzo,form of short-cut pasta which is shaped like a large grain of rice
435,broken vermicelli,thin vermicelli pasta that is broken or cut into short lengths
436,añejo cheese,Mexican cheese
437,kumru,"Turkish sandwich, especially from the Aegean region (İzmir and env.)"
438,pepes,special dish from Indonesia
439,ikan pepes,special dish from Timor Leste
443,betutu,Balinese roasted chicken and duck made with betutu spice mix
444,bika ambon,traditional Indonesian cake originating from Medan made from tapioca flour
445,nasi ulam,Traditional Malaysian rice dish from Northern Malaya in Kedah
446,ulam,Traditional Malaysia salad originating from Malay Penisula
447,red tortoise cake,Chinese pastry usually eaten during significant occasions
448,buntil,Javanese dish
449,kelle,Turkish dish made of head meat (generally sheep)
450,chin chin,"snack in Nigeria made from basic combination of flour, milk and sugar"
452,chugchucaras,food of Ecuador
454,cimpa,several kinds of cake in Sumatra
455,coca flour,Coca leaves powder
456,serabi,Indonesian traditional of rice pancake
457,corn fritter,food
458,crispy crunch,Canadian chocolate bar
459,esquites,Mexican corn salad
460,rengginang,Indonesian traditional rice cracker originating from Java island
461,kolak,Indonesian dessert
463,pecel,Indonesian dish originating from Java island
464,klepon,"Southeast Asia sweet green snack balls, coated in shredded coconut"
465,duros,"Mexican snack food made of puffed wheat, often flavored with chilli and lime"
466,gajar ka halwa,South Asian sweet
467,eba,West African staple food
468,empal gentong,Indonesian beef soup
469,food biotechnology,application of genetic engineering to food production
470,fried eggplant,Turkish cuisine dish
471,gaplek,Javanese traditional food
473,pantruca,Chilean soup with home-made noodles (pantrucas)
474,ham salad,anglo-american dish
475,alfajores,Spanish cookie-like dessert
477,castilian asado,traditional roast meat in Castilian cuisine
478,berenjena de almagro,PGI
479,berza gaditana,"cooked or stew of chickpeas, beans"
481,calzones rotos,Chilean sweet
482,chacina,preserved meats with marinades or sausages.
483,chorizo cular,pork chorizo ​​stuffed in thick casing (cular)
484,blueberry,section of plants
487,humanitarian daily ration,air-dropped ration for disasters
488,judiones de la granja,"large bean variety grown in Real Sitio de San Ildefonso, province of Segovia, Spain"
489,kayseri yağlaması,Turkish dish from Kayseri
490,ıslama köfte,Turkish kofte (köfte) variant
491,imokilly regato,Irish cow milk cheese
492,manisa kebap,Turkish cuisine meat dish
493,büryan,"lamb dish from Turkey, made in an underground oven (like a well)"
494,circassian chicken,chicken dish from the Turkish cuisine
495,kuzu fırın,lamb dish from the cuisine of Turkey
496,kandil simidi,"special circular bread with sesame or ""çörekotu"" made for certain religious days"
497,dilber dudağı,Turkish dessert
498,peynir helva,cheese-based dessert from the Turkish cuisine
500,pumpkin dessert,"dessert from the Turkish cuisine, made with pumpkins."
502,yuvalama,soup from the cuisine of southern Turkey
503,tahini roll,Turkish sweet bun (çörek) with tahini
504,gavurdağı salatası,Turkish salad
505,ankara tava,Turkish cuisine dish
506,kuzu kapama,traditional lamb dish from the Turkish cuisine
507,tokat kebabı,lamb dish from the Turkish cuisine made in a black oven
508,testi kebabı,lamb dish from the Turkish cuisine cooked inside an earthenware jug on an open fire
509,stuffed intestines,Turkish offal (tripe) dolma called Mumbar or Bumbar
510,patatas con costillas adobadas,"Potatoes cooked with pork ribs marinated with paprika, oregano, salt"
511,i̇skilip dolması,"Turkish dish from İskilip, Çorum"
512,hoşmerim,cheese-based Turkish dessert
513,karadeniz pidesi,"Turkish oven-baked dish consisting of a ""pide"" flatbread with a filling or topping."
515,zaalouk,Moroccan dish
516,jolpan,traditional Assamese snacks typically served at breakfast
517,kemplang,Indonesian fish cracker snack
518,tabriz köfte,Iranian meatball
519,kerak telor,Indonesian spicy omelette dish
520,ketoprak,Indonesian vegetarian dish
521,keşkül,milk and almond pudding from the Turkish cuisine
523,kuli kuli,Nigerian snack that is made from dry roasted peanuts/groundnuts
524,konro,Indonesian dish
525,hanımgöbeği,Turkish cuisine dessert
526,kaak al quds,Israeli bread
527,pitzuchim,colloquial term referring to varieties of nuts and seeds
528,hedik,Turkish dish
529,mackerel,flesh from mackerels
531,etli ekmek,"Turkish ""pide"" from the city and province of Konya"
532,mezcal worm,insect larva added for flavor to mezcal
533,moin moin,traditional Nigerian food
534,encûr,Vegetables from Kurdistan
535,nasi bakar,Indonesian traditional steamed rice
536,nasi bogana,Indonesia rice dish originating from Java island
537,nasi liwet,Indonesian rice dish originating from Java island
538,qiwî,Vegetables from Kurdistan
539,soryaz,Şırnak province local food
540,pallubasa,Indonesian dish
541,penne alla vodka,italian-American pasta dish
542,pentol,Javanese meatballs with starch
543,perdeli pilav,"Turkish ""pilav"" dish in ""yufka"""
544,piti,Armenian dish with meat and chickpeas
545,pizza rolls,frozen pizza snack
546,cabbage,variety of plants
547,uih sepit,Indonesian traditional cookies
548,roti buaya,Betawi traditional bread
549,kue leker,Indonesian traditional pancake
550,lempuk,Food made from durian
551,nisan,Food from the coconut plant
552,rujak cingur,Indonesian salad
553,sate padang,Indonesian dish
556,screwball,type of frozen confection that first appeared in the 1970s
557,scrod,small cod or haddock used as food
559,rice jamblang,Indonesian rice dish originating from Java island
560,sel roti,Nepalese ring-shaped sweet rice bread
562,siomay,Indonesian cuisine
563,sowans,Scottish dish
564,suet pudding,pudding made with wheat flour and suet
565,swikee,Chinese-Indonesian dish
566,tahinli pide,pide sort (sweet)
567,tekwan,Indonesian fish soup
568,dali ni horbo,Batak traditional cheese
569,ting ting jahe,Indonesian ginger candy
570,tinutuan,Indonesian dish with rice and squash
571,tipatipa,Batak food item
572,wingko,Indonesian traditional pancake
573,kalburabastı,Turkish dessert
574,stuffed zucchini flower,Stuffed zucchini flower dish from the Aegean
576,frutas de aragón,traditional Aragonese candy
577,alphabet pasta,Pasta shaped like alphabet letters
579,tatranky,wafer
581,efó,Dish of the Bahia cuisine
582,ekuru,"meal native to the Yoruba people in Nigeria, usually prepared with peeled beans"
584,knake,Kind of sausage
587,såkaka,type of bread
588,vanilla extract,culinary liquid made from vanilla pods in ethanol solution
589,goheimochi,Japanese regional cuisine
590,tofu sheet,soy product
592,taigu bing,A type of pastry from Taigu County
594,timphan,Indonesian steamed banana dumpling
595,pekasam,Malaysian (Malay) fermented food originating from Perak and Kedah
596,sate madura,a type of satay served with peanut sauce
598,seruit,Indonesian cuisine
601,arem arem,Indonesia traditional food
602,cenil,Javanese traditional food
604,cilok,Sundanese boiled or fried tapioca flour balls
605,cireng,Indonesian fritters
606,navy curry,form of Japanese curry
607,brown sugar,sucrose sugar product with a distinctive brown colour
608,natural cane sugar,traditional raw sugar obtained by evaporating water from sugarcane juice
610,jaggery,traditional non-centrifugal cane sugar consumed in Asia and Africa
611,muscovado,type of unrefined brown sugar
612,panela,unrefined whole cane sugar
613,sucanat,brand name for a variety of whole cane sugar that was introduced by Pronatec in 1978
617,soyjoy,Japanese snack bar bland
627,grilled fish,food fish that has been subject to high temperature
629,saikyoyaki,fish marinating method
630,teriyaki,Japanese dish of meat or fish that is grilled or broiled after being soaked in a seasoned soy sauce marinade
632,katsuo no tataki,Japanese fish dish
633,kurohampen,food in Japan
634,potica,Slovenian walnut cake roll
636,kacchi biryani,One type of food
637,ayam tangkap,Acehnese cuisine made from chicken
639,celimpungan,Indonesian speciality Food
640,dengke mas naniura,Indonesian traditional dish
641,doclang,Indonesian traditional rice cake with peanut sauce dish from Bogor
643,dawet ice,An Indonesian traditional drink from Central Java
644,garang asem,"A traditional Indonesian food from Central Java,  featuring chicken wrapped in banana leaf"
645,getuk pero,Indonesian traditional food
649,kuwah itek,Indonesian curry-like dish originating from Aceh
652,itak gurgur,Traditional Batak food
656,kapurung,a type of soup made from sago starch originated from Palopo in South Sulawesi
657,kelan antep,Indonesian dish
660,skin crackers,A traditional Indonesian crackers made of cattle skin
662,getuk kicak,Indonesian traditional food
665,kuah beulangong,Acehnese goat curry
666,pohulpohul,Batak traditional snack
667,lampet,Batak traditional rice cake
668,ombusombus,traditional Batak culinary
669,kue,"Indonesian bite-sized cakes, pastries, and snacks"
670,getuk,Javanese traditional cake
674,sale pisang,dried banana dish from Indonesia
675,rengginang,Indonesian traditional rice cracker originating from Java island
676,getuk,Javanese traditional cake
677,kue cubit,Indonesian snack
678,uih sepit,Indonesian traditional cookies
679,wingko,Indonesian traditional pancake
680,ombusombus,traditional Batak culinary
682,suwar suwir,Indonesia traditional snack
683,kue talam,Indonesian coconut tray cake
684,kue bangkit,Indonesian sago cookies
686,kembang goyang,Indonesian snack
688,kumbu,Indonesian cake made from green beans
689,keukarah,"Dessert from Aceh, Indonesia"
690,meuseukat,dodol-like cake found in Acehnese cuisine
691,pinyaram,Minangkabau traditional cake
692,adrem,Indonesian traditional snacks
693,kue mangkok,Indonesian dessert
695,pancong,Indonesian specialty cakes
696,kue precet,West Java traditional cake
701,engkak,Indonesian tradisional cake
704,jadah manten,Indonesian traditional food
712,bolu kukus,Indonesian cake
717,katrisolo,a traditional cake with the main ingredient in the form of glutinous rice and using brown sugar
721,bola ubi,sweet potato dish
724,bungong kayee,"kind of dessert from Aceh, Indonesia"
726,kuluban,Indonesian traditional salad dish
728,kuwah pliëk u,achenese cuisine from Indonesia
732,lema,A fermented bamboo shoot dish
736,lontong kupang,food from East Java
737,madumongso,Indonesian sweet snack
738,manuk napinadar,Bataknese dish from Indonesia
741,mendol,processed tempeh
742,menjes,Menjes is a traditional food made by beans from Malang East Java Indonesia
744,model,a soup dish made of sago starch and fish
748,nasi gandul,Indonesian soup
749,nasi jagung,Indonesian maize dish
750,nasi tempong,Indonesian rice dish
751,nopia,Indonesian snack from Purbalinga
757,pindang serani,Indonesian traditional food
760,pulut,"rice dish from Aceh, Indonesia"
763,rica rica,Indonesian type of hot and spicy spice mixture
767,rujak soto,Indonesian Salad
768,sambal tuktuk,Indonesian spicy sauce with andaliman seasoning
769,buffalo satay kudus,"culinary from Kudus, Indonesia"
770,ponorogo satay,"traditional food from Ponorogo, Indonesia"
771,tegal satay,Indonesian food from Tegal and Slawi
772,satay kalong,buffalo meat satay dish from Cirebon
773,penyu satay,Indonesian dish from Bali
775,buah keluak,seed of Pangium edule
781,soto jepara,Indonesian chicken soup dish
782,soto kediri,Chicken soup with coconut milk sauce
783,soto betawi,Indonesian food
786,soto sokaraja,"type of traditional soup dish from Banyumas, Indonesia"
789,suwar suwir,Indonesia traditional snack
791,tahu petis,Tofu patis from Indonesia
792,kue talam,Indonesian coconut tray cake
795,tempe kemul,Indonesian traditional food
797,tengkleng,Indonesian goat stew
799,timlo,"traditional soup dish from Surakarta, Central Java, Indonesia"
801,nasi tutug oncom,Sundanese rice dish from Indonesia
804,yangko,Indonesian snack made of glutinous rice flour
805,uja,korean food
806,akok,food
807,tahu campur,East Javanese tofu dish
809,cicvara,traditional meal
810,stuffed artichoke,artichoke dishes made by filling the flower
811,artichoke rechel,"""reçel"" (Turkish style jam or murabba) made with artichokes"
812,badımcan çığırtması,eggplant and egg dish
813,zerde,Iranian cuisine dessert
814,chigirtma,Azeri cuisine egg dish
815,urfa pepper,"pepper from Urfa, Turkey"
816,blessed thistle with lamb,Turkish lamb dish
818,jizza,Uzbek food
822,labouyi,Food in Haiti
823,miki,Wheat product
824,putok,Filipino bread roll
827,luk chup,Thai desert of marzipan
829,cethil,Javanese food
832,gablog,Food made from rice
834,geblek,Traditional snack from Kulon Progo
840,lentho,Indonesian savoury snack made of black-eyed pea
844,molen banana,Indonesia traditional snack
845,klatak satay,Indonesian dish
846,maranggi satay,"Sundanese food, Indonesia"
847,nasi kapau,Indonesian cuisine originating from Kapau region in West Sumatra
853,tiwul,javanese tradisional rice
854,paripuvada,it is delicious food item.it is good with black tea
859,dodol garut,"Sundanese confectionery from Garut, Indonesia"
860,géco,Type of fermented bean paste
862,papais,Food
863,azymes,unleavened bread
864,lontong balap,Indonesian rice cake dish
865,na tinombur,Batak traditional dish
867,strawberry,fruit
868,wépion strawberry,"strawberry grown near Wépion, Belgium"
869,pineberry,strawberry cultivar
870,truskawka kaszubska,Polish strawberry varieties
874,fragaria ananassa,species of plants
875,kadaif noodles,Turkish/Levantine/Balkanic pastry
876,erzurum kadaifi dolması,dessert
877,ampo snack,Indonesian snack made of soil
878,waakye,Ghanaian food
881,lotek,Sundanese traditional food from Indonesia
882,i̇negöl meatballs,"Turkish köfte variety from İnegöl, Bursa"
883,smoked egg,egg dish
885,pepeçura,Turkish grape dessert from the Black Sea Region
887,khata,cooked food from India
888,moroccan rziza,Moroccan cuisine
890,ayam pop,Indonesian fried chicken dish
893,pappada vada,South Indian snack made from papadum
894,kappa biriyani,Biriyani dish of Kerala
895,bakpia,traditional Indonesian pastry filled with various nuts
896,bakpia pathok,Indonesian sweet rolls
897,prawn cracker,prawn-flavoured crackers
900,biju,Brazilian biscuit
901,prosciutto alla brace di saint oyen,Traditional Italian ham
902,patatas revolconas,Traditional Spanish: Potatoes made with torreznos and smoked paprika
904,lontong dekem,Indonesian spicy rice cake dish originating from Dekem region in Central Java
905,mie ayam,Indonesian dish
906,putri salju cake,Indonesian traditional cake
907,bubur ketan hitam,Indonesian dessert
908,dürüm,"Turkish cuisine fast food, similar to ""wrap"""
909,tantouni,Turkey Dish
910,ayam goreng,Indonesian fried chicken
